index,id,latitude,longitude,stationName,zone
276,504,40.73221853,-73.98165557,1 Ave & E 15 St,6
306,536,40.74144387,-73.97536082,1 Ave & E 30 St,6
227,455,40.75001986,-73.96905301,1 Ave & E 44 St,6
261,489,40.75066386,-74.00176802,10 Ave & W 28 St,4
230,458,40.751396,-74.005226,11 Ave & W 27 St,4
250,478,40.76030096,-73.99884222,11 Ave & W 41 St,4
301,530,40.771522,-73.990541,11 Ave & W 59 St,4
285,514,40.76087502,-74.00277668,12 Ave & W 40 St,4
299,528,40.74290902,-73.97706058,2 Ave & E 31 St,6
79,290,40.76020258,-73.96478473,2 Ave & E 58 St,6
246,474,40.7451677,-73.98683077,5 Ave & E 29 St,5
315,2004,40.724399,-74.004704,6 Ave & Broome St,2
158,377,40.72243797,-74.00566443,6 Ave & Canal St,2
277,505,40.74901271,-73.98848395,6 Ave & W 33 St,5
292,521,40.7509673487,-73.9944420755,8 Ave & W 31 St,4
262,490,40.751551,-73.993934,8 Ave & W 33 St,4
221,447,40.76370739,-73.9851615,8 Ave & W 52 St,4
182,404,40.7405826,-74.00550867,9 Ave & W 14 St,2
235,463,40.74206539,-74.00443172,9 Ave & W 16 St,4
208,434,40.74317449,-74.00366443,9 Ave & W 18 St,4
280,509,40.7454973,-74.00197139,9 Ave & W 22 St,4
251,479,40.76019252,-73.9912551,9 Ave & W 45 St,4
99,312,40.722055,-73.989111,Allen St & E Houston St,3
145,361,40.71605866,-73.99190759,Allen St & Hester St,3
179,401,40.72019576,-73.98997825,Allen St & Rivington St,3
123,339,40.72580614,-73.97422494,Avenue D & E 12 St,3
89,302,40.72082834,-73.97793172,Avenue D & E 3 St,3
63,266,40.72368361,-73.97574813,Avenue D & E 8 St,3
130,346,40.73652889,-74.00618026,Bank St & Hudson St,2
40,238,40.7361967,-74.00859207,Bank St & Washington St,2
194,417,40.71291224,-74.01020234,Barclay St & Church St,1
7,127,40.73172428,-74.00674436,Barrow St & Hudson St,2
139,355,40.71602118,-73.99974372,Bayard St & Baxter St,3
140,356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,3
57,260,40.70365182,-74.01167797,Broad St & Bridge St,1
91,304,40.70463334,-74.01361706,Broadway & Battery Pl,1
77,285,40.73454567,-73.99074142,Broadway & E 14 St,2
180,402,40.7403432,-73.98955109,Broadway & E 22 St,5
