WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94728,20141001,0002,11,OVC008, , 9.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, , 6, ,VR , , , ,29.84, , , , , ,M, ,SP, , , ,30.01, 
94728,20141001,0049,11,SCT009 BKN015 OVC060, ,10.00, , , ,63, ,17.0, ,60, ,15.2, ,57, ,14.0, , 81, , 7, ,VR , , , ,29.85, , , , , ,M, ,SP, , , ,30.02, 
94728,20141001,0051,11,BKN009 BKN015 OVC060, ,10.00, , , ,62, ,16.7, ,59, ,15.0, ,57, ,13.9, , 84, , 5, ,VR , , , ,29.85, , , , , ,29.99, ,AA, , , ,30.02, 
94728,20141001,0102,11,BKN011 OVC017, ,10.00, , , ,63, ,17.2, ,60, ,15.2, ,57, ,13.9, , 81, , 3, ,VR , , , ,29.85, , , , , ,M, ,SP, , , ,30.02, 
94728,20141001,0151,11,BKN012 BKN033 OVC060, ,10.00, , , ,63, ,17.2, ,60, ,15.2, ,57, ,13.9, , 81, , 3, ,VR , , , ,29.84, , , , , ,29.98, ,AA, , , ,30.01, 
94728,20141001,0251,11,OVC014, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 5, ,050, , , ,29.84, , , , , ,29.98, ,AA, , , ,30.01, 
94728,20141001,0351,11,OVC014, ,10.00, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, , 75, , 7, ,VR , , , ,29.85, , , , , ,29.99, ,AA, , , ,30.02, 
94728,20141001,0451,11,OVC013, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 6, ,VR , , , ,29.85, , , , , ,29.99, ,AA, , , ,30.02, 
94728,20141001,0504,11,OVC015, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 0, ,000, , , ,29.85, , , , , ,M, ,SP, , , ,30.02, 
94728,20141001,0516,11,OVC014, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 7, ,VR , , , ,29.86, , , , , ,M, ,SP, , , ,30.03, 
